State,countyFIPS,County Name,population,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020
TX,48327,Menard County,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,6,6,6,8,8,8,8,12,12,12,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16
TX,48329,Midland County,176832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,6,8,11,13,13,16,16,19,22,24,24,27,30,30,31,31,32,32,32,35,37,41,42,42,43,64,65,67,69,70,71,73,74,75,76,79,82,82,89,90,91,94,100,101,101,101,107,112,115,116,120,120,120,122,122,123,123,124,124,124,124,125,126,128,129,129,129,132,137,141,146,155,155,155,169,177,180,194,201,201,201,222,222,264,287,322,322,322,417,454,494,494,563,563,563,651,701,734,772,772,772,772,927,976,1020,1070,1104,1104,1104,1194,1266,1298,1339,1387,1387,1387,1199,1249,1249,1330,1364,1364,1364,1364,1364,1476,1476
TX,48331,Milam County,24823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,7,7,7,7,7,8,8,8,8,9,9,11,12,12,12,13,13,13,13,13,14,14,16,16,16,17,18,18,18,18,18,20,20,20,20,20,22,23,23,24,24,25,26,27,27,28,28,28,28,28,28,28,28,28,28,29,29,29,32,35,35,35,35,37,38,40,42,44,44,44,48,51,56,57,57,57,63,68,73,78,80,80,80,83,88,90,92,92,92,92,112,120,133,137,149,149,149,149,187,191,203,217,217,217,240,257,260,262,273,273,273,286,293,297,302
TX,48333,Mills County,4873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,6,7,7,7,7,7,7,7,7,7,8,8,10,11,12,13,13,14,14,14,14,15
TX,48335,Mitchell County,8545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,9,9,10,10,12,12,12,18,21,23,25,25,25,26,27,27,27,27,31,31,31,34,34,38,41,41,41,42,42,47,49
TX,48337,Montague County,19818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,14,17,17,17,17,17,17,18,18,18,21,21,21,21,21,24,25,26,26,26,26,27,32,32,33,35,35,35,37,37,39,43,45,45,45,46,47,49,54
TX,48339,Montgomery County,607391,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,4,4,4,19,19,31,40,47,63,65,70,93,110,110,130,142,149,161,197,210,231,245,251,251,251,266,331,350,370,370,377,377,393,417,440,467,496,506,506,530,562,582,602,629,634,634,640,662,672,689,699,699,699,724,742,758,773,798,798,798,817,848,861,881,888,888,888,888,913,926,940,954,954,954,966,1010,1033,1053,1064,1064,1064,1090,1122,1162,1197,1258,1258,1258,1300,1359,1428,1484,1555,1555,1555,1647,1737,1831,1889,1952,1952,1952,2028,2133,2257,2353,2353,2353,2353,2550,2654,2784,2876,3007,3007,3007,3112,3471,4324,4501,4721,4721,4721,5067,5169,5294,5444,5597,5597,5597,5780,5852,5990,6077
TX,48341,Moore County,20940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,6,6,6,7,9,15,21,21,22,22,36,52,59,75,99,106,121,139,162,172,186,192,252,272,294,295,327,350,363,399,399,434,448,454,487,494,508,508,508,508,508,508,508,508,508,508,508,508,508,511,512,513,514,518,565,602,604,686,689,838,840,844,851,852,852,852,864,864,866,871,872,872,872,872,872,876,877,877,877,879,881,881,886,888,888,888,888,889,893,896,897,897,897,897,902,909,912,915,916,916,916,921,921,924,927,940,940,942,951,961,967,968,978,978,978,986,1000,1008,1008
TX,48343,Morris County,12388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,8,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,13,14,15,17,17,17,17,21,22,25,25,25,25,25,25,25,27,27,27,27,27,27,27,28,28,30,31,31,31,31,31,31,33,34,34,35,37,37,37,37,37,38,38,39,40,41,42,42,43,48,48,48,48,48,50,51,54,54,55,61,63,63,64,65,68,70,70,77,79,79,81,84,85,91
TX,48345,Motley County,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
TX,48347,Nacogdoches County,65204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,5,12,15,16,18,21,25,25,29,30,47,48,56,64,69,75,88,89,91,96,98,110,115,115,125,125,141,141,157,160,172,172,174,187,189,202,202,202,206,211,221,224,227,229,233,238,239,241,243,244,255,255,257,257,257,261,270,270,287,287,288,290,294,298,301,301,304,304,305,315,317,317,324,324,324,326,329,337,341,343,345,346,349,353,360,370,379,381,381,397,407,416,425,435,443,444,461,479,516,525,554,586,593,611,633,639,647,663,665,669,743,793,810,835,866,875,882,927,936,957,1010
TX,48349,Navarro County,50113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,4,4,4,4,4,10,11,12,12,12,16,16,18,20,20,20,20,23,24,25,26,28,28,28,28,30,30,31,31,31,31,31,33,34,36,36,36,36,36,37,37,38,38,38,38,38,40,40,42,44,44,44,45,49,49,50,55,56,56,57,58,61,64,66,66,66,70,70,74,84,87,87,87,98,98,101,116,120,120,120,148,156,170,177,185,185,185,230,241,247,262,283,283,283,370,396,421,433,433,446,446,470,486,512,536,562,562,562,596,626,637,655,672,672,672,691,734,751,763
TX,48351,Newton County,13595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,21,26,27,27,28,29,29,30,30,32,37,77,78,78,78,83,83,83
TX,48353,Nolan County,14714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,8,8,10,10,13,13,16,18,20,24,33,33,33,36,42,42,42,45,46,46,49,55,60,67,67,67,70,71,76,76,86,90,90,90,110,110,122,122,122,122,125,127,127,129
TX,48355,Nueces County,362294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,20,20,20,21,21,22,34,34,40,41,47,50,53,59,65,69,72,72,76,76,79,83,83,87,89,90,90,90,90,90,91,92,94,94,99,99,99,102,106,107,107,113,114,117,123,128,129,132,147,174,186,209,231,233,234,242,248,256,260,260,262,262,263,266,268,268,268,274,275,275,280,285,286,289,289,289,300,303,310,321,336,336,336,360,391,420,485,548,597,633,742,813,1028,1287,1499,1727,1915,2120,2394,2756,3018,3272,3593,3796,4084,4472,4917,5260,5672,5965,6174,6427,7032,7532,7861,8171,8407,8579,8816,9105,9607,9961,8127,8127,8178,8342,8559,8792,8987
TX,48357,Ochiltree County,9836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,19,19,19,19,19,19,19,25,26,28,29,29,29,29,29,39,39,39,39,40,40,40,41,41,42,42,43,43,43,43,48,49,49,49,49,49,50,51,51,51,51,51,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,60,60,60,60,62,62,62,62,62,62,62,62,62,62,62,63,63,68,75,75,75,76,78,78,82
TX,48359,Oldham County,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,7,7,9,12,12,12,12,12,12,12,13,13,13,13
TX,48361,Orange County,83396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,5,7,7,7,12,22,22,26,29,30,30,33,44,44,45,46,47,48,48,49,49,58,59,59,63,64,64,64,64,70,70,71,71,71,71,77,79,81,81,84,84,84,84,84,84,87,87,87,87,87,89,89,94,96,96,96,96,96,96,98,98,98,98,98,98,100,100,100,100,100,100,102,102,105,106,106,106,107,118,126,135,143,143,143,155,164,166,191,198,198,198,212,272,273,303,303,303,303,327,415,443,493,498,498,498,498,498,498,720,720,720,720,766,784,813,826,827,827,827,878,945,999,999
TX,48363,Palo Pinto County,29189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,4,4,4,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,19,21,25,34,38,38,38,47,52,55,55,61,61,61,76,79,81,83,84,84,84,95,108,119,131,142,142,142,157,158,166,192
TX,48365,Panola County,23194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,7,10,10,10,13,20,22,32,35,37,37,38,42,49,61,70,70,76,78,80,80,107,128,133,133,135,135,136,138,138,138,142,144,149,149,155,158,159,162,162,162,164,164,165,166,171,172,172,173,174,175,178,179,180,180,181,187,187,187,187,187,187,187,187,187,187,187,187,187,188,191,191,193,193,194,195,196,200,200,205,205,209,209,209,212,213,214,216,217,218,218,221,223,228,229,231,234,234,236,238,238,241,248,250,252,253,255,255,257,258,260,261,267,269
TX,48367,Parker County,142878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,4,5,6,6,6,6,6,9,11,13,13,14,15,16,17,20,21,21,21,21,21,22,23,24,24,24,25,30,30,30,35,35,39,40,41,43,44,45,45,45,45,47,56,57,57,57,57,63,64,67,67,67,67,67,68,68,70,74,76,76,76,79,81,81,87,92,92,92,104,105,105,110,112,112,112,116,118,120,124,124,124,124,138,177,177,177,255,255,255,286,291,304,333,344,344,344,388,473,507,516,556,556,556,615,665,667,679,697,697,697,743,754,808,808,824,824,824,982,1026,1026,1057
TX,48369,Parmer County,9605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,4,4,6,6,6,8,8,8,13,13,14,17,17,19,19,19,21,22,23,23,25,26,34,36,39,39,49,51,53,53,53,53,53,55,59,59,59,59,69,71,88,89,89,89,98,98,100,111,120,120,120,124,132,139,155,155,155,158,165,167,174,184,188,188,188,191,199,205,213,215,215,215,227,229,236,236,236,236,236,236,236,242,252,257,257,261,269,277,284,288,289,289,289,294,299,305,311
TX,48371,Pecos County,15823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,6,6,6,6,9,9,9,9,10,10,10,10,13,14,14,14,15,15,15,19,20,20,20,20,20,20,23,24,24,27,27,27,27,27,27,56,66,66,93,102,102,103,103,103,104,105,105,105,107,107,107,107,107,107,111,111,111,112,112,112,112,112,113,116,116,117,117,120,124,127,130,131,131,131,131,135,135,138,138,139,139,139,148,151,153,164,166,166,166,178,185,188,193,193,193,194,203,208,208,208
TX,48373,Polk County,51353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,7,7,7,8,8,8,8,8,9,9,9,11,11,14,14,14,14,14,15,15,17,18,18,18,18,18,19,19,20,20,20,20,30,30,30,35,35,35,35,40,40,46,47,47,47,47,50,50,52,52,52,52,52,52,53,54,55,56,56,56,60,60,60,60,61,61,61,61,62,62,65,65,65,65,71,72,73,73,75,75,75,85,88,95,106,106,106,106,113,121,155,170,170,170,170,205,205,268,288,321,321,321,380,380,401,414,414,414,414,414,533,533,592,601,601,601,628,648,656,656
TX,48375,Potter County,117415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,4,5,5,10,16,21,24,40,41,41,47,58,59,66,70,70,79,79,92,101,110,130,142,160,174,204,221,280,326,333,396,430,499,572,684,766,818,876,907,971,1027,1101,1124,1124,1179,1327,1421,1462,2080,2129,2129,2145,2193,2196,2202,2229,2238,2238,2238,2251,2266,2276,2317,2321,2321,2354,2432,2488,2504,2754,2756,2756,2763,2766,2778,2783,2785,2785,2785,2789,2798,2811,2819,2822,2822,2822,2831,2838,2843,2854,2858,2858,2858,2873,2885,2913,2937,2937,2937,2937,2978,3008,3025,3038,3048,3048,3048,3056,3081,3100,3119,3159,3159,3159,3212,3263,3294,3340,3353,3353,3353,3389,3419,3454,3481
