State,countyFIPS,County Name,population,2/5/2020,2/19/2020,3/4/2020,3/18/2020,4/1/2020,4/15/2020,4/29/2020,5/13/2020,5/27/2020,6/10/2020,6/24/2020,7/8/2020,7/22/2020,8/5/2020,8/19/2020,9/2/2020,9/16/2020,9/30/2020,10/14/2020,10/28/2020
CA,6115,Yuba County,78668,0.0,0.0,0.0,0.0,8.0,7.0,2.0,8.0,3.0,5.0,16.0,98.0,172.0,234.0,268.0,123.0,148.0,80.0,71.0,95.0
TX,48001,Anderson County,57735,0.0,0.0,0.0,0.0,1.0,3.0,19.0,27.0,16.0,25.0,922.0,139.0,910.0,291.0,63.0,103.0,225.0,85.0,56.0,76.0
TX,48003,Andrews County,18705,0.0,0.0,0.0,0.0,0.0,13.0,6.0,3.0,5.0,0.0,19.0,74.0,92.0,61.0,73.0,28.0,32.0,19.0,93.0,110.0
TX,48005,Angelina County,86715,0.0,0.0,0.0,0.0,5.0,12.0,32.0,68.0,76.0,88.0,145.0,184.0,624.0,521.0,175.0,83.0,59.0,91.0,58.0,83.0
TX,48007,Aransas County,23510,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,36.0,65.0,51.0,28.0,25.0,92.0,16.0,17.0,10.0
TX,48009,Archer County,8553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,3.0,7.0,13.0,20.0,14.0,20.0,16.0,51.0
TX,48011,Armstrong County,1887,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,5.0,9.0
TX,48013,Atascosa County,51153,0.0,0.0,0.0,0.0,2.0,7.0,7.0,11.0,8.0,7.0,42.0,68.0,227.0,40.0,100.0,53.0,49.0,526.0,105.0,33.0
TX,48015,Austin County,30032,0.0,0.0,0.0,0.0,2.0,10.0,1.0,2.0,9.0,7.0,26.0,48.0,64.0,49.0,126.0,75.0,48.0,30.0,7.0,10.0
TX,48017,Bailey County,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,14.0,58.0,23.0,17.0,40.0,29.0,7.0,3.0,21.0,20.0,50.0
TX,48019,Bandera County,23112,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,9.0,12.0,27.0,35.0,13.0,7.0,3.0,48.0,18.0,7.0
TX,48021,Bastrop County,88723,0.0,0.0,0.0,0.0,8.0,24.0,35.0,53.0,70.0,89.0,94.0,246.0,437.0,257.0,164.0,131.0,96.0,146.0,69.0,87.0
TX,48023,Baylor County,3509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,6.0,16.0,7.0
TX,48025,Bee County,32565,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,17.0,10.0,62.0,170.0,428.0,733.0,192.0,170.0,25.0,15.0,27.0
TX,48027,Bell County,362924,0.0,0.0,0.0,1.0,45.0,64.0,70.0,51.0,98.0,178.0,418.0,809.0,1141.0,805.0,743.0,473.0,323.0,332.0,380.0,496.0
TX,48029,Bexar County,2003554,0.0,0.0,0.0,4.0,225.0,661.0,417.0,635.0,538.0,1033.0,3954.0,8413.0,17675.0,8059.0,2651.0,2648.0,3371.0,7548.0,2202.0,5188.0
TX,48031,Blanco County,11931,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,3.0,15.0,23.0,27.0,22.0,24.0,7.0,6.0,10.0,7.0,10.0
TX,48033,Borden County,654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TX,48035,Bosque County,18685,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,23.0,50.0,53.0,52.0,41.0,44.0,66.0,40.0,29.0
TX,48037,Bowie County,93245,0.0,0.0,0.0,1.0,8.0,28.0,32.0,13.0,74.0,202.0,48.0,61.0,182.0,58.0,105.0,156.0,245.0,194.0,205.0,332.0
TX,48039,Brazoria County,374264,0.0,0.0,0.0,2.0,107.0,150.0,217.0,210.0,167.0,179.0,806.0,1198.0,2032.0,1819.0,1480.0,1224.0,1181.0,668.0,407.0,486.0
TX,48041,Brazos County,229211,0.0,0.0,0.0,1.0,52.0,96.0,39.0,99.0,157.0,221.0,640.0,1321.0,816.0,511.0,253.0,566.0,1035.0,646.0,601.0,510.0
TX,48043,Brewster County,9203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,86.0,15.0,24.0,1.0,16.0,10.0,7.0,25.0,4.0
TX,48045,Briscoe County,1546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,6.0
TX,48047,Brooks County,7093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,39.0,37.0,58.0,87.0,47.0,34.0,21.0,17.0
TX,48049,Brown County,37864,0.0,0.0,0.0,0.0,3.0,8.0,23.0,17.0,6.0,3.0,5.0,52.0,182.0,57.0,71.0,56.0,46.0,57.0,25.0,63.0
TX,48051,Burleson County,18443,0.0,0.0,0.0,0.0,1.0,7.0,4.0,4.0,6.0,17.0,28.0,53.0,81.0,34.0,30.0,28.0,28.0,24.0,52.0,70.0
TX,48053,Burnet County,48155,0.0,0.0,0.0,0.0,3.0,4.0,9.0,12.0,2.0,25.0,45.0,103.0,158.0,183.0,42.0,77.0,30.0,55.0,94.0,205.0
TX,48055,Caldwell County,43664,0.0,0.0,0.0,0.0,1.0,5.0,5.0,22.0,19.0,29.0,205.0,253.0,365.0,192.0,99.0,53.0,193.0,100.0,125.0,34.0
TX,48057,Calhoun County,21290,0.0,0.0,0.0,0.0,7.0,12.0,11.0,6.0,1.0,5.0,16.0,55.0,164.0,234.0,51.0,49.0,6.0,206.0,52.0,55.0
TX,48059,Callahan County,13943,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,6.0,9.0,12.0,9.0,10.0,15.0,10.0,12.0,11.0,27.0
TX,48061,Cameron County,423163,0.0,0.0,0.0,0.0,37.0,202.0,148.0,157.0,167.0,240.0,807.0,1239.0,3523.0,8598.0,3220.0,2873.0,1011.0,603.0,734.0,591.0
TX,48063,Camp County,13094,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,47.0,37.0,18.0,15.0,47.0,44.0,43.0,54.0,24.0,19.0,17.0,23.0
TX,48065,Carson County,5926,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,10.0,16.0,10.0
TX,48067,Cass County,30026,0.0,0.0,0.0,0.0,3.0,2.0,8.0,4.0,8.0,7.0,4.0,16.0,44.0,64.0,53.0,48.0,42.0,72.0,59.0,99.0
TX,48069,Castro County,7530,0.0,0.0,0.0,0.0,8.0,3.0,2.0,11.0,8.0,5.0,28.0,42.0,39.0,42.0,21.0,20.0,13.0,20.0,14.0,35.0
TX,48071,Chambers County,43837,0.0,0.0,0.0,0.0,9.0,22.0,10.0,9.0,12.0,24.0,95.0,273.0,302.0,168.0,130.0,101.0,75.0,112.0,130.0,93.0
TX,48073,Cherokee County,52646,0.0,0.0,0.0,0.0,4.0,3.0,7.0,13.0,17.0,10.0,28.0,188.0,313.0,249.0,452.0,143.0,75.0,62.0,31.0,47.0
TX,48075,Childress County,7306,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,7.0,22.0,15.0,6.0,7.0,10.0,13.0,35.0
TX,48077,Clay County,10471,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,8.0,7.0,16.0,14.0,19.0,4.0,6.0,10.0,28.0
TX,48079,Cochran County,2853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,22.0,4.0,2.0,10.0,5.0,25.0,32.0
TX,48081,Coke County,3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,9.0,26.0,3.0,6.0,1.0,3.0,26.0,48.0
TX,48083,Coleman County,8175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,9.0,21.0,17.0,8.0,17.0,3.0,11.0
TX,48085,Collin County,1034730,0.0,0.0,0.0,6.0,201.0,287.0,198.0,271.0,226.0,357.0,813.0,1466.0,1789.0,1124.0,3641.0,740.0,1363.0,1440.0,2566.0,1527.0
TX,48087,Collingsworth County,2920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,2.0,1.0,0.0,2.0
